Date,Total Housing Sales,Apartment Sales,Total Housing Sales - Apartment Sales
2024.05,"57,436건","43,278건","14,158건"
2024.04,"58,215건","44,119건","14,096건"
2024.03,"52,816건","40,233건","12,583건"
2024.02,"43,491건","33,333건","10,158건"
2024.01,"43,033건","32,111건","10,922건"
2023.12,"38,036건","26,934건","11,102건"
2023.11,"45,415건","32,821건","12,594건"
2023.10,"47,799건","35,454건","12,345건"
2023.09,"49,448건","37,629건","11,819건"
2023.08,"51,578건","39,277건","12,301건"
2023.07,"48,170건","36,260건","11,910건"
2023.06,"52,592건","39,622건","12,970건"
